"number","name","earnings","gold","silver","bronze","s-tier"
1305,"Kine","$4,347",0,2,0,0
1306,"Rakin","$4,338",0,1,1,0
1307,"Once","$4,329",1,0,2,0
1308,"StenBosse","$4,328",3,2,0,0
1309,"Night","$4,320",4,5,0,0
1310,"pbO","$4,315",2,2,1,0
1311,"Kuma","$4,299",0,0,1,0
1312,"Kehvo","$4,242",0,4,1,0
1313,"Shiny","$4,240",2,0,1,0
1314,"Garo","$4,239",1,1,2,0
1315,"IceBreaker","$4,236",3,1,1,0
1316,"Eckas","$4,234",3,1,0,0
1317,"Holo","$4,233",0,0,2,0
1318,"DenVoksne","$4,211",1,1,2,0
1319,"Mirror","$4,201",1,3,0,0
1320,"J0J0C","$4,197",3,2,1,0
1321,"Mexi","$4,189",1,1,0,0
1322,"Nobody","$4,189",0,1,0,0
1323,"Kynetic","$4,176",0,2,2,0
1324,"Fraid","$4,167",1,3,1,0
1325,"Random","$4,144",5,1,0,0
1326,"Achuu","$4,137",2,1,2,0
1327,"Zytan","$4,134",3,1,1,0
1328,"Citrus","$4,125",0,1,0,0
1329,"Mewkyo","$4,110",1,0,1,0
1330,"Jatt","$4,100",1,0,2,0
1331,"Tuomari","$4,077",2,3,3,0
1332,"Mirbs","$4,074",1,0,2,0
1333,"Kronos","$4,063",1,2,0,0
1334,"Kackos","$4,062",0,2,1,0
1335,"Kyanna","$4,035",1,3,0,0
1336,"Tifa","$4,035",1,3,0,0
1337,"Pirean","$4,031",0,1,1,0
1338,"Hakuho","$4,000",0,0,1,0
1339,"Benji","$4,000",0,0,1,0
1340,"Moon","$4,000",0,0,0,0
1341,"Bull","$3,997",0,2,0,0
1342,"whiteinn","$3,994",1,2,0,0
1343,"Cheoni","$3,989",0,1,0,0
1344,"Baut","$3,989",0,1,0,0
1345,"Eimy","$3,984",0,0,1,0
1346,"PCL","$3,978",1,4,3,0
1347,"Dreamsu","$3,975",1,1,1,0
1348,"Keysie","$3,966",3,0,0,0
1349,"Lucky","$3,950",1,0,0,0
1350,"Zica","$3,928",0,0,0,0
1351,"Froggy","$3,905",0,1,0,0
1352,"Vicla","$3,903",2,0,0,0
1353,"Bonnie","$3,903",2,0,0,0
1354,"TH","$3,898",0,0,2,0
1355,"Bullet","$3,885",1,1,2,0
1356,"Spawn","$3,880",1,0,0,0
1357,"Spot","$3,879",0,0,2,0
1358,"Alternative","$3,874",3,2,1,0
1359,"Hantera","$3,863",1,1,0,0
1360,"Nipphu","$3,853",3,1,1,0
1360,"Dommmy","$3,852",3,2,1,0
1362,"Calm","$3,845",0,1,2,0
1363,"Gear","$3,842",0,0,0,0
1364,"Kit","$3,841",0,1,0,0
1365,"Raxhy","$3,836",1,1,2,0
1366,"Robba","$3,824",3,2,1,0
1367,"Lvsyan","$3,805",1,0,0,0
1368,"Brom","$3,803",0,0,0,0
1369,"LynX","$3,803",2,0,0,0
1370,"Tomo","$3,800",2,1,0,0
1371,"Nyu","$3,797",2,0,2,0
1372,"Grisen","$3,796",2,2,1,0
1373,"Mytheos","$3,788",2,4,3,0
1374,"AndyBendy","$3,779",2,4,3,0
1375,"Lion","$3,774",1,0,0,0
1376,"Yuri","$3,774",0,1,0,0
1377,"Energy","$3,769",4,1,1,0
1378,"Leon","$3,748",0,2,1,0
1379,"APA","$3,732",0,3,2,0
1380,"Kiefer","$3,731",1,1,1,0
1381,"Hiro","$3,727",0,0,0,0
1382,"Oscarinin","$3,726",0,2,0,0
1383,"113","$3,698",2,0,0,0
1384,"Click","$3,695",3,2,0,0
1385,"Sebs","$3,691",4,5,2,0
1386,"Choisix","$3,678",1,2,1,0
1387,"Kartis","$3,674",1,0,0,0
1388,"Engo","$3,660",1,0,1,0
1389,"Spookz","$3,656",2,4,1,0
1390,"Swiffer","$3,656",2,4,1,0
1391,"Zamulek","$3,641",0,2,0,0
1392,"Valkyrie","$3,630",0,1,1,0
1393,"BuLLDoG","$3,629",0,2,0,0
1394,"Chime","$3,625",2,1,0,0
1395,"Zwyroo","$3,619",0,1,3,0
1396,"Flare","$3,612",4,0,1,0
1397,"viNylCat","$3,610",0,0,0,0
1398,"Tiara","$3,591",2,2,0,0
1399,"Yusa","$3,587",4,3,7,0
1400,"Only","$3,581",2,3,3,1
1401,"Riss","$3,568",0,1,0,0
1402,"RoyalKanin","$3,565",1,0,0,0
1403,"Sarkis","$3,562",2,0,0,0
1404,"Taurus","$3,531",0,0,1,0
1405,"Hyôrai","$3,521",0,4,0,0
1406,"PaSa","$3,519",0,2,0,0
1407,"Poss","$3,515",1,0,0,0
1408,"DinTer","$3,514",0,0,0,0
1409,"ottovaG","$3,512",7,0,1,0
1410,"Will","$3,500",1,0,0,0
1411,"HungryPanda","$3,490",2,0,1,0
1412,"SadJesteRRR","$3,476",0,0,0,0
1413,"Only35","$3,470",2,1,0,0
1414,"Viking","$3,437",1,0,0,0
1415,"UNF0RGIVEN","$3,431",1,0,0,0
1416,"Madly","$3,420",1,1,1,0
1417,"Fresskowy","$3,411",0,2,0,0
1418,"CheonGo","$3,410",0,0,0,0
1419,"Mytant","$3,404",0,1,0,0
1420,"Darker","$3,400",0,0,2,0
1421,"Likai","$3,400",0,0,1,0
1422,"Hyoga","$3,384",1,0,1,0
1423,"Lamabear","$3,362",1,0,0,0
1424,"Seraph","$3,356",0,0,1,0
1425,"Kadaver","$3,329",6,1,1,0
1426,"Prodigy","$3,323",1,2,1,0
1427,"BULBAZABP","$3,320",0,1,0,0
1428,"goldento4st","$3,311",1,1,0,0
1429,"Yursan","$3,300",0,0,2,0
1430,"K2","$3,300",0,0,0,0
1431,"Azhi","$3,300",0,0,0,0
1432,"Malunoo","$3,300",0,0,1,0
1433,"extinkt","$3,300",0,0,1,0
1434,"Minji","$3,300",0,0,0,0
1435,"Bardo","$3,276",2,1,2,0
1436,"Hawk","$3,270",1,0,0,0
1437,"Akeno","$3,261",0,0,0,0
1438,"Rebel","$3,257",1,0,0,0
1439,"Glebo","$3,245",0,0,1,0
1440,"Lmzs","$3,244",1,0,0,0
1441,"Wondro","$3,239",3,2,0,0
1442,"Charger","$3,236",0,0,0,0
1443,"Neo","$3,232",2,0,1,1
1444,"Optimas","$3,222",1,1,0,0
1445,"Srtty","$3,220",1,1,1,0
1446,"Tomio","$3,220",1,2,1,0
1447,"Aspect","$3,220",1,1,1,0
1448,"Danny","$3,220",1,2,1,0
1449,"Mist","$3,220",1,1,1,0
1450,"Destroy","$3,217",0,0,2,0
1451,"Mikkel","$3,214",2,1,2,0
1452,"SkuLL","$3,212",1,0,0,0
1453,"Boomin","$3,206",2,4,0,0
1454,"Raid","$3,196",1,0,2,1
1455,"Impaler","$3,191",0,2,0,0
1456,"Hena","$3,186",0,0,0,0
1457,"Tear","$3,183",0,0,2,0
1458,"dibu","$3,181",3,0,0,0
1459,"JDG","$3,181",2,2,1,0
1460,"Dawn","$3,179",1,0,0,0
1461,"hammann","$3,175",0,1,0,0
1462,"Lilipp","$3,173",0,0,1,0
1463,"ItsCortez","$3,169",0,0,0,0
1464,"Cospect","$3,164",5,0,0,0
1465,"Tak","$3,133",0,1,2,0
1466,"Epic","$3,121",0,0,0,0
1467,"Trevor","$3,098",3,1,2,0
1468,"ChosenOne","$3,083",3,0,0,0
1469,"Ic0nic","$3,075",2,2,2,0
1470,"WouLou","$3,070",2,0,2,0
1471,"Supa","$3,065",0,2,0,0
1472,"Kryze","$3,051",1,2,0,0
1473,"Haninger","$3,041",0,1,0,0
1474,"WildHeart","$3,031",0,0,1,0
1475,"Vahvel","$3,031",1,0,1,0
1476,"Ripi","$3,029",3,1,0,0
1477,"bucu","$3,029",0,1,1,0
1478,"Kashtelan","$3,025",0,2,2,0
1479,"Genza","$3,023",0,1,0,0
1480,"Saju","$3,019",1,3,1,0
1481,"Laba","$3,018",0,1,1,0
1482,"Chelly","$3,007",0,0,1,0
1483,"Blaze","$3,000",0,1,0,0
1484,"Jojopyun","$3,000",0,2,0,0
1485,"Fill","$3,000",0,1,0,0
1486,"Hard","$3,000",0,1,0,0
1487,"Klaus","$2,984",0,2,0,0
1488,"LeQu","$2,969",0,2,0,0
1489,"styllEE","$2,954",1,2,0,0
1490,"NooB","$2,946",5,3,1,0
1491,"Koldo","$2,937",0,0,0,0
1492,"LUBEEENZZZ","$2,936",1,0,0,0
1493,"Turanaga","$2,936",1,0,0,0
1494,"Monk","$2,927",2,4,5,0
1495,"NOsFerus","$2,913",1,1,0,0
1496,"Anechek","$2,911",0,0,1,0
1497,"Arashi","$2,908",0,1,1,0
1498,"Wing","$2,900",0,0,0,0
1499,"Nausicaa","$2,900",1,0,0,0
1500,"Sheo","$2,888",0,2,2,0
1501,"Dragane","$2,865",1,3,0,0
1502,"FlayStation","$2,860",1,1,1,0
1503,"JeongHoon","$2,857",1,0,0,0
1504,"Insanity","$2,850",1,0,0,0
1505,"Hoya","$2,850",0,0,0,0
1506,"Draktharr","$2,830",0,0,1,0
1507,"Elio","$2,830",0,0,1,0
1508,"Jisoo","$2,823",0,1,0,0
1509,"Maxim","$2,819",2,0,0,0
1510,"Sof","$2,813",1,0,1,0
1511,"Pun1sher","$2,810",0,4,1,0
1512,"Chris","$2,807",0,3,0,0
1513,"ForellenLord","$2,801",0,0,1,0
1514,"Ablazeolive","$2,800",1,0,1,0
1515,"Dragdar","$2,795",0,0,2,0
1516,"Daption","$2,763",5,0,0,0
1517,"t4nky","$2,756",0,0,2,0
1518,"NUCLEARINT","$2,745",0,1,2,0
1519,"Taki","$2,741",1,1,0,0
1520,"Bean J","$2,741",1,1,0,0
1521,"Flakked","$2,736",0,1,0,0
1522,"LeChase","$2,719",2,2,0,0
1523,"KiWiKiD","$2,700",0,0,0,0
1524,"BroCColi","$2,700",0,0,1,0
1525,"Erasus","$2,698",1,0,0,0
1526,"Orre","$2,696",2,2,0,0
1527,"Hinn","$2,692",0,0,1,0
1528,"5Kid","$2,686",0,0,0,0
1529,"Mong","$2,668",0,0,0,0
1530,"Knighter","$2,667",1,1,0,0
1531,"Dragflick","$2,660",1,2,1,0
1532,"Phoenix","$2,649",3,0,1,0
1533,"Aslan","$2,637",0,1,1,0
1534,"Evrot","$2,634",0,1,0,0
1535,"2188","$2,630",0,0,0,0
1536,"RD","$2,629",0,0,1,0
1537,"Cover","$2,615",0,0,0,0
1538,"Kenapil","$2,604",0,4,3,0
1539,"Fomko","$2,569",0,0,1,0
1540,"Tide","$2,563",6,3,0,0
1541,"Marky","$2,560",0,0,0,0
1542,"AnOnPsyCkO","$2,556",1,0,0,0
1543,"Truklax","$2,545",2,4,0,0
1544,"KazeTAR","$2,534",2,1,1,0
1545,"Kuri","$2,526",0,0,0,0
1546,"Sunblast","$2,520",2,2,0,0
1547,"Domas","$2,517",2,1,1,0
1547,"Balkhan","$2,512",1,0,0,0
1549,"xiaoyueji","$2,506",0,0,1,0
1550,"neny","$2,506",0,0,1,0
1551,"Arnax","$2,505",1,1,0,0
1552,"Paolocannone","$2,500",0,0,2,0
1553,"Mercenary","$2,494",0,0,0,0
1554,"DarkSide","$2,480",0,1,0,0
1555,"Urban","$2,478",2,1,1,0
1556,"ESCIK","$2,473",0,2,0,0
1557,"EGym","$2,460",1,4,0,0
1558,"Praelus","$2,459",1,0,0,0
1559,"Bisbo","$2,456",1,0,0,0
1560,"Hidan","$2,456",1,0,1,0
1561,"Yoon","$2,450",0,1,0,0
1562,"Xavieles","$2,448",1,2,1,0
1563,"Pepiinero","$2,443",1,0,0,0
1564,"Allorim","$2,441",0,2,1,0
1565,"JF","$2,433",0,1,0,0
1566,"Wojtuœ","$2,421",1,0,0,0
1567,"ShLaYa","$2,409",0,0,0,0
1568,"Lautemortis","$2,400",0,0,0,0
1569,"Yusin","$2,399",0,0,1,0
1570,"InKos","$2,390",1,1,1,0
1571,"MyKey","$2,389",0,0,0,0
1572,"Leodaras","$2,381",2,0,0,0
1573,"KronG","$2,381",0,0,0,0
1574,"Rybson","$2,377",0,1,2,0
1575,"CaiPi","$2,373",1,0,0,0
1576,"Benaset","$2,368",8,1,0,0
1577,"Gagai","$2,367",1,2,0,0
1578,"Canee","$2,360",0,0,0,0
1579,"Majd","$2,344",2,0,0,0
1580,"DnDn","$2,343",0,1,2,0
1581,"Sylvie","$2,343",0,1,2,0
1582,"FIESTA","$2,343",0,1,2,0
1583,"Practice","$2,315",3,1,0,0
1584,"Jiangqiao","$2,308",0,0,1,0
1585,"Nothing","$2,302",3,1,0,0
1586,"Trigo","$2,297",1,1,0,0
1587,"Bako","$2,289",0,3,1,0
1588,"Hiro","$2,287",3,1,2,0
1589,"Tulz","$2,287",1,1,1,0
1590,"Fallen","$2,282",2,0,1,0
1590,"FatMamma","$2,280",0,0,0,0
1590,"Noodle","$2,273",2,0,0,0
1593,"zty","$2,266",2,1,0,0
1594,"Kxng","$2,261",1,0,0,0
1595,"Joekie","$2,218",1,4,1,0
1596,"Strompest","$2,213",3,2,2,0
1597,"Potter","$2,213",1,1,2,0
1598,"Skeden","$2,210",1,2,0,0
1599,"Sevenarmy","$2,201",0,0,0,0
1600,"Noah","$2,201",1,0,0,0
1600,"Castle","$2,201",1,0,0,0
1600,"Evolved","$2,200",1,2,0,0
1603,"Duoking","$2,200",1,3,0,0
1604,"Giyuu","$2,200",0,2,0,0
1605,"Namex","$2,191",0,5,0,0
1606,"Kanji","$2,187",0,0,2,0
1607,"Aithusa","$2,173",1,0,1,0
1608,"Brance","$2,173",1,0,1,0
1609,"Cdric","$2,171",0,1,0,0
1610,"Rufus","$2,170",3,1,1,0
1611,"Twiizt","$2,155",2,2,2,0
1612,"Kiari","$2,154",0,1,0,0
1613,"Sardoche","$2,137",0,1,1,0
1614,"TamoZ","$2,135",0,0,1,0
1615,"Zhandia","$2,131",1,1,1,0
1616,"Follow","$2,121",4,1,0,0
1617,"Shine","$2,115",1,0,0,0
1618,"Swordd","$2,100",0,0,1,0
1619,"Clear","$2,090",0,1,0,0
1620,"Ques","$2,088",0,0,0,0
1621,"Tatuy","$2,087",2,0,2,0
1622,"Lebron","$2,080",0,3,0,0
1623,"Sawyor","$2,064",1,2,0,0
1624,"Mihai","$2,053",1,0,0,0
1625,"Camilonicolau","$2,052",3,0,0,0
1626,"Baba","$2,047",2,3,1,0
1627,"Eddie","$2,046",0,0,1,0
1628,"Rocklho","$2,045",1,1,0,0
1629,"Duclou","$2,045",0,0,0,0
1630,"Bible","$2,041",2,0,0,0
1631,"SlowQ","$2,037",1,0,0,0
1632,"Qwacker","$2,035",1,2,0,0
1633,"Art","$2,034",1,0,1,0
1634,"Yashiro","$2,034",1,1,1,0
1635,"svns","$2,027",1,0,0,0
1636,"Lenny","$2,022",2,0,2,0
1637,"Miracle","$2,021",0,0,0,0
1638,"Laynel","$2,021",0,1,0,0
1639,"JeppeHou","$2,018",2,4,0,0
1640,"D4nKa","$2,015",0,0,0,0
1641,"Sidnik","$2,015",0,0,0,0
1642,"Hollow","$2,010",0,2,1,0
1643,"Skeeto","$2,002",2,3,1,0
1644,"Ploxy","$2,002",4,2,1,0
1645,"Thien","$2,000",1,1,2,0
1646,"Katsurii","$2,000",1,0,2,0
1647,"FakeGod","$2,000",1,0,0,0
1648,"Gate","$2,000",0,0,1,0
1649,"TF Blade","$2,000",1,1,0,0
1650,"Keel","$2,000",1,0,0,0
1651,"Driver","$2,000",0,0,0,0
1652,"Zikz","$2,000",0,0,0,0
1653,"wingsofdeathx","$2,000",0,0,0,0
1654,"Kevy","$2,000",0,2,0,0
1655,"Snurmi","$1,995",2,0,0,0
1656,"Mindrago","$1,981",2,0,0,0
1657,"Michlit","$1,981",2,0,0,0
1658,"MoonBlack","$1,973",0,0,0,0
1659,"Seffe","$1,964",0,0,1,0
1660,"Kuroko","$1,962",0,0,0,0
1661,"Sybol","$1,954",0,2,1,0
1662,"Dambaj","$1,950",0,0,1,0
1663,"Worst","$1,947",3,2,1,0
1664,"Shmebu","$1,946",1,0,0,0
1665,"Baloo","$1,935",1,0,1,0
1666,"Migab","$1,931",6,0,0,0
1667,"Reborn","$1,929",2,2,0,0
1667,"HyoJun","$1,929",2,2,0,0
1669,"Czypsy","$1,906",0,0,2,0
1670,"Yameru","$1,901",1,3,1,0
1671,"Azitor","$1,901",2,3,1,0
1672,"Zelt","$1,895",5,2,1,0
1673,"Agentas","$1,894",1,2,1,0
1674,"Jaxplank","$1,876",1,2,0,0
1675,"Piter Pokir","$1,875",0,0,0,0
1676,"Justice","$1,870",0,0,0,0
1677,"Dragon","$1,867",1,0,0,0
1678,"Morsu","$1,862",0,1,0,0
1679,"Demon","$1,862",1,0,0,0
1680,"Arrietty","$1,862",1,1,0,0
1681,"DrMatt","$1,862",1,0,0,0
1682,"Brizz","$1,862",1,2,0,0
1683,"Wind","$1,856",0,0,0,0
1684,"Poeza","$1,856",1,0,0,0
1685,"Selfway","$1,855",0,1,2,0
1686,"Tyrin","$1,847",0,1,1,0
1687,"ST3PZ","$1,847",0,2,1,0
1688,"bydeki","$1,843",0,0,1,0
1689,"Robocop","$1,843",2,1,0,0
1690,"GIDEON","$1,842",0,0,0,0
1691,"Jkalam","$1,842",3,2,1,0
1691,"Diablo","$1,836",1,3,0,0
1691,"Acerola","$1,835",1,2,1,0
1694,"Bushy","$1,823",3,0,0,0
1695,"Aquasonic","$1,812",4,0,0,0
1696,"Pullbae","$1,804",1,0,0,0
1697,"B1ven","$1,800",0,0,0,0
1698,"Cozy","$1,793",3,2,0,0
1698,"Nikolex","$1,790",0,1,2,0
1700,"Hoiz","$1,788",0,0,2,0
1701,"Blue","$1,785",2,1,0,0
1702,"PiOk","$1,781",1,4,0,0
1703,"Eyliph","$1,780",0,1,0,0
1704,"Clever","$1,779",0,0,0,0
1705,"Nisbeth","$1,767",1,0,0,0
1706,"Airwaks","$1,766",1,1,0,0
1707,"Links","$1,763",2,0,0,0
1708,"Steve","$1,760",0,0,1,0
1709,"Alexx","$1,757",1,1,0,0
1710,"Proud","$1,753",0,0,0,0
1711,"BAO","$1,753",2,0,0,0
1712,"Lindgarde","$1,753",0,1,0,0
1713,"Pleata","$1,753",2,0,0,0
1714,"Moham","$1,752",2,1,0,0
1715,"Lodi","$1,752",2,1,0,0
1716,"BreadMan","$1,752",2,1,0,0
1717,"DrChaos","$1,750",1,1,0,0
1718,"Uloper","$1,748",1,0,0,0
1719,"iLevi","$1,746",2,0,0,0
1720,"Shogun","$1,742",0,3,6,0
1721,"Raxon","$1,736",0,4,1,0
1722,"Gabbo","$1,733",2,2,0,0
1723,"Vital","$1,726",0,1,1,0
1724,"LOCKIE","$1,720",1,0,1,0
1725,"Dimill","$1,714",0,0,0,0
1726,"Souli","$1,714",0,0,1,0
1727,"Lumerion","$1,712",1,2,0,0
1728,"St1ng","$1,712",0,0,1,0
1729,"Merza","$1,708",2,1,2,0
1730,"Fittle","$1,707",1,1,0,0
1731,"Matty","$1,700",3,0,2,0
1732,"Enga","$1,693",2,1,1,0
1733,"Gorica","$1,692",0,2,1,0
1734,"Outlandisch","$1,688",0,2,0,0
1735,"Thanatos","$1,686",1,0,0,0
1736,"Lucid","$1,686",1,0,0,0
1737,"Rahel","$1,686",1,0,0,0
1738,"Siler","$1,679",0,0,0,0
1739,"Lastwolf","$1,671",1,1,1,0
1740,"bit1","$1,664",0,0,0,0
1741,"Arin","$1,664",0,0,0,0
1742,"Xypherz","$1,663",0,0,0,0
1743,"Air","$1,651",1,1,0,0
1744,"Dinoricar","$1,635",1,1,0,0
1745,"Slayer","$1,632",5,3,0,0
1746,"Mayhem","$1,626",0,1,0,0
1747,"Manaty","$1,613",1,0,0,0
1748,"euna","$1,601",2,0,2,0
1749,"Johnsun","$1,600",0,0,0,0
1750,"OTTO","$1,600",0,1,0,0
1751,"Sheep","$1,600",0,0,0,0
1752,"Horus","$1,600",3,1,0,0
1753,"jinjo","$1,592",0,4,1,0
1754,"Joekerism","$1,588",0,1,4,0
1755,"Kanna","$1,583",1,1,0,0
1756,"Khynm","$1,582",1,1,1,0
1757,"Marfz","$1,579",0,1,0,0
1758,"Lynkez","$1,576",0,1,0,0
1759,"Looca","$1,566",1,1,0,0
1760,"GGul","$1,564",2,1,0,0
1761,"Flipper","$1,557",0,1,1,0
1762,"KemKen","$1,557",1,0,0,0
1763,"Bung","$1,555",1,0,1,0
1764,"Wayward","$1,550",1,0,0,0
1765,"Unravel","$1,550",0,0,0,0
1766,"Xiao17","$1,550",0,0,0,0
1767,"1xn","$1,550",0,0,0,0
1768,"GYX","$1,550",0,0,0,0
1769,"Artum","$1,549",0,1,0,0
1770,"Yazmat","$1,549",0,1,0,0
1771,"Croc","$1,540",0,1,2,0
1772,"Nomi","$1,538",1,2,0,0
1773,"LongB","$1,526",1,0,0,0
1774,"Bardito","$1,516",2,0,1,0
1775,"Adryh","$1,514",1,0,0,0
1776,"Glory","$1,511",0,0,0,0
1777,"TheTess","$1,501",0,1,0,0
1778,"Gastruks","$1,500",2,1,0,0
1779,"Zeypher","$1,500",0,6,1,0
1780,"Skyyart","$1,500",0,0,1,0
1781,"Mke","$1,498",1,1,0,0
1782,"Silas","$1,494",1,1,2,0
1783,"Juzinho","$1,492",1,0,0,1
1784,"Warszi","$1,491",0,1,1,0
1785,"Pak","$1,482",0,3,0,0
1786,"JackPoT","$1,471",1,0,0,0
1787,"irma","$1,465",0,1,0,0
1788,"View","$1,465",0,0,1,0
1789,"Mingjing","$1,465",0,0,0,0
1789,"CyraXx","$1,465",0,0,0,0
1791,"New","$1,465",0,1,0,0
1792,"Dany","$1,463",1,2,0,0
1793,"Appen","$1,461",1,3,1,0
1794,"Dawidsonek","$1,449",0,0,0,0
1795,"Soren","$1,443",0,1,0,0
1796,"Paladin","$1,441",0,0,0,0
1797,"Nazgul","$1,438",0,1,0,0
1798,"DahVys","$1,437",1,0,0,0
1799,"Meaning","$1,435",2,2,0,0
1800,"Igloo","$1,434",0,1,0,0
1801,"Librid","$1,431",2,0,0,0
1802,"Rawbin","$1,431",3,1,1,0
1803,"Rein","$1,419",0,0,0,0
1804,"Backlund","$1,418",1,0,0,0
1805,"Teeen","$1,415",0,0,1,0
1806,"WildPanda","$1,415",0,2,0,0
1807,"Octomalus","$1,413",1,1,0,0
1808,"Dinka","$1,410",1,0,1,0
1809,"ZombieKungen","$1,410",1,0,0,0
1810,"Paladin","$1,408",0,0,1,0
1811,"Lesmart","$1,400",2,0,0,0
1812,"RBM","$1,400",0,1,1,0
1813,"Barrage","$1,400",2,1,1,0
1814,"iWa","$1,398",1,1,0,0
1815,"Chemera","$1,398",1,0,1,0
1816,"WooFe","$1,396",0,2,1,0
1817,"flare","$1,379",1,0,1,0
1818,"Soboro","$1,377",1,1,0,0
1819,"Sanity","$1,372",1,1,2,0
1820,"Aesenar","$1,371",0,1,0,0
1821,"Findus","$1,363",0,1,1,0
1822,"Dred","$1,362",1,1,3,0
1823,"Jaunatis","$1,355",1,1,0,0
1824,"Maynter","$1,347",0,0,0,0
1825,"Balkane","$1,347",0,0,0,0
1826,"Blue45ty","$1,346",0,1,0,0
1827,"Snuggli","$1,339",0,0,1,0
1828,"KroMAX","$1,337",0,0,0,0
1829,"Shaoran","$1,320",0,0,0,0
1830,"Numandiel","$1,313",1,1,3,0
1831,"Chibs","$1,306",0,3,6,0
1832,"Warden","$1,301",0,0,1,0
1833,"HaRleLuYaR","$1,300",0,0,0,0
1834,"Thinkcard","$1,300",0,1,0,0
1835,"Do1u1u","$1,300",0,0,0,0
1836,"Monarca","$1,298",2,0,0,0
1837,"Brona","$1,298",2,0,0,0
1838,"Punisher","$1,297",0,0,0,0
1839,"HHNeverLucky","$1,296",2,5,0,0
1840,"KRP","$1,288",0,1,1,0
1841,"zhii","$1,283",1,1,0,0
1842,"Tibor","$1,272",2,0,0,0
1843,"Lotus","$1,266",1,1,0,0
1844,"Emi","$1,266",0,1,0,0
1845,"Speedy","$1,266",0,2,0,0
1846,"Wylenz","$1,257",0,6,1,0
1847,"Donbray","$1,250",1,0,0,0
1848,"Kennedys","$1,248",0,0,1,0
1849,"Eign","$1,246",2,0,0,0
1850,"Peach","$1,246",2,0,0,0
1851,"Delight","$1,240",2,0,0,0
1852,"Wolf","$1,235",1,2,0,0
1853,"Kabamarru","$1,235",0,4,0,0
1854,"Fisher","$1,233",2,1,0,0
1855,"Syrpy","$1,224",0,1,2,0
1856,"Asta","$1,223",2,1,0,0
1857,"noname","$1,222",2,1,0,0
1858,"Bobo","$1,218",0,0,1,0
1859,"Vizility","$1,212",0,1,0,0
1860,"Xyraz","$1,202",1,1,1,0
1860,"Rx Dye","$1,201",0,1,1,0
1862,"EquivocaL","$1,200",0,0,0,0
1863,"BarneyD","$1,200",0,0,1,0
1864,"Lunar","$1,183",0,1,2,0
1865,"Busio","$1,180",0,0,1,0
1866,"Carbono","$1,180",0,0,1,0
1867,"Vaynedeta","$1,167",0,1,1,0
1868,"Young","$1,160",0,1,3,0
1869,"Jun","$1,160",1,1,0,0
1870,"Shark","$1,155",0,0,0,0
1871,"Slugger","$1,155",0,0,0,0
1872,"H4cker","$1,154",0,0,1,0
1873,"Kind","$1,150",1,0,1,0
1874,"Stratospanda","$1,144",1,1,0,0
1875,"Lian","$1,141",0,1,2,0
1876,"Philip","$1,140",0,0,0,0
1877,"KonDziSan","$1,139",0,1,1,0
1878,"Meleks","$1,128",0,0,1,0
1879,"KOOLBERG","$1,122",0,2,1,0
1880,"Dummy","$1,121",0,0,2,0
1881,"FatShield","$1,121",0,0,2,0
1882,"Saitam","$1,120",0,0,2,0
1883,"ToongE","$1,117",1,2,0,0
1884,"Garp","$1,116",1,2,1,0
1885,"Sirinox","$1,113",1,2,2,0
1886,"PatkicaA","$1,111",0,1,0,0
1887,"Boal","$1,108",1,0,0,0
1888,"Spontexx","$1,106",1,0,0,0
1889,"Endz","$1,105",4,1,2,0
1890,"Eden Fox","$1,104",0,2,1,0
1891,"Snaker","$1,101",0,2,0,0
1892,"Zappy","$1,100",0,0,1,0
1893,"Woodboy","$1,099",0,0,1,0
1894,"Reclamation","$1,097",1,0,0,0
1895,"Karakal Jr","$1,092",0,0,1,0
1896,"Champen","$1,084",1,0,0,0
1897,"Fax","$1,082",0,1,0,0
1898,"Comet","$1,079",0,0,0,0
1899,"Hoglet","$1,076",0,1,2,0
1900,"Unforgiven","$1,076",0,0,1,0
1901,"Lingwi","$1,071",0,1,0,0
1902,"Diplex","$1,066",1,0,3,0
1903,"Prelude","$1,064",0,0,1,0
1904,"Symphony","$1,063",0,0,1,0
1905,"Dedrayon","$1,060",0,0,0,0
1906,"Blizz","$1,059",1,0,3,0
1907,"Malice","$1,056",0,0,0,0
1908,"Kaylem","$1,056",0,1,0,0
1909,"bAZZILISKS","$1,054",1,2,0,0
1910,"Nafkelah","$1,049",0,0,1,0
1911,"Meech","$1,038",0,1,1,0
1912,"Glowing","$1,022",1,1,0,0
1913,"Pat","$1,018",2,0,1,0
1914,"Juves","$1,014",0,0,2,0
1915,"Last","$1,010",0,0,0,0
1916,"Charca","$1,002",1,1,0,0
1917,"Serin","$1,000",2,1,0,0
1918,"Zothve","$1,000",0,0,1,0
1919,"Shok","$1,000",0,1,2,0
1920,"TOPKING","$1,000",0,0,0,0
1921,"Ferret","$1,000",2,1,0,0
1922,"Midbeast","$1,000",0,1,0,0
1923,"Dragku","$1,000",0,0,2,0
1924,"Gunkrab","$1,000",1,0,1,0
1925,"StarScreen","$1,000",3,2,0,0
1926,"SkyTec","$1,000",0,0,0,0
1927,"Lived","$1,000",0,0,1,0
1928,"Farfetch","$1,000",2,0,0,0
1929,"Swathe","$1,000",0,0,1,0
1930,"Tsiperakos","$998",0,1,0,0
1931,"Blacky","$996",1,1,0,0
1932,"Xeonerr","$995",0,0,0,0
1933,"Klydex","$988",1,2,0,0
