"number","name","earnings","gold","silver","bronze","s-tier"
365,"LIDER","$40,470",3,3,0,0
366,"FoFo","$40,417",1,2,3,1
367,"Prince","$40,297",1,1,1,0
368,"Yeon","$40,270",6,3,1,0
369,"PDD","$40,250",1,2,1,0
370,"fabFabulous","$40,120",6,3,0,2
371,"puszu","$40,000",1,0,0,1
372,"Shenyi","$39,844",0,2,1,0
373,"Save","$39,781",0,2,1,0
374,"Zeitnot","$39,570",5,3,1,2
375,"micaO","$39,509",6,4,0,1
376,"illuSioN","$39,370",1,2,1,0
377,"Solo","$39,125",2,2,0,0
378,"Morning","$39,097",2,2,3,2
379,"Stitch","$38,976",1,1,2,0
380,"tockers","$38,950",6,3,0,2
381,"Seiya","$38,945",6,1,3,0
382,"Meliodas","$38,732",2,0,1,0
383,"P1noy","$38,655",7,3,1,1
384,"icon","$38,648",1,1,1,1
385,"Eika","$38,458",12,5,2,0
386,"Morgan","$38,451",1,1,1,0
387,"SSONG","$38,279",1,1,0,1
388,"Spica","$38,275",1,2,1,1
389,"Whitelotus","$38,210",6,1,1,0
390,"Nardeus","$38,117",4,0,0,0
391,"Chaox","$38,040",2,3,2,0
392,"Steak","$38,000",2,0,0,0
393,"Avoidless","$37,857",1,0,3,0
394,"Shemek","$37,801",12,6,3,0
395,"Obsess","$37,473",3,5,3,0
396,"Mark","$37,399",2,1,0,0
397,"kRYST4L","$37,369",0,1,1,0
398,"M1ssion","$37,323",3,1,3,0
399,"xiaolaohu","$37,164",0,3,0,0
400,"Rikara","$37,025",2,0,0,0
401,"Killua","$36,905",1,2,2,1
402,"Beichuan","$36,866",0,3,0,0
403,"Buggax","$36,636",4,0,1,0
404,"Hope","$36,553",0,1,0,0
405,"Adam","$36,533",3,1,2,0
406,"TynX","$36,465",5,3,2,0
407,"Doxy","$36,366",4,6,1,0
408,"loulex","$36,166",1,0,2,1
409,"Xuhao","$36,126",1,0,1,0
410,"GuGer","$36,071",2,6,0,0
411,"Fix","$36,065",6,4,0,0
412,"Tierwulf","$36,051",5,2,0,0
413,"XLB","$36,014",2,2,0,0
414,"Eyla","$36,000",4,3,1,0
415,"Agresivoo","$35,964",5,4,4,0
416,"Shernfire","$35,936",5,2,1,1
417,"Revolta","$35,735",5,4,5,2
418,"Zanzarah","$35,579",3,8,1,0
419,"Rich","$35,464",3,2,0,0
420,"Voyboy","$35,450",3,3,3,0
421,"Bradley","$35,340",4,1,0,0
422,"Steeelback","$35,301",7,1,0,1
423,"Rather","$35,294",2,1,1,1
424,"Bando","$35,176",6,7,2,0
425,"Stomaged","$35,120",5,3,0,2
426,"Mafa","$34,986",2,1,2,1
427,"Coco","$34,962",0,1,3,0
428,"Bvoy","$34,915",0,4,0,0
